CC(C)[C@H]1NC(=O)[C@@H](NC(=O)c2ccc(C)c3oc4c(C)c(=O)c(N)c(C(=O)N[C@H]5[C@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]6CCCN6C(=O)[C@H](NC5=O)C(C)C)c4nc23)[C@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]2CCCN2C1=O	1
CCCCCCC1N=C(N)N=C(N)N1c1ccc(Cl)cc1	1
CCCCCCC1N=C(N)N=C(N)N1c1cccc(Cl)c1	1
Oc1ccc(N=O)c2cccnc12	-1
Oc1ccc(\C=N\N=c2\[nH]c3ccc(cc3s2)N(=O)=O)cc1	-1
Oc1ccc(Br)cc1C(=O)c1cc(Br)ccc1O	-1
CCCCCCCCCCCC[n+]1ccccc1	1
Oc1ccc2ccccc2c1Cc1c(O)ccc2ccccc12	-1
CCN(CC)CCNC(=O)C(Cl)=C1C(Cl)=C(Cl)C(Cl)=C1Cl	-1
COc1ccc2nc(C)cc(NCCCCCCCCCNc3cc(C)nc4ccc(OC)cc34)c2c1	1
Nc1ccc(cc1)C(=C1C=CC(=N)C=C1)c1ccc(N)cc1	1
Cc1cc(ccc1N)C(=C1C=CC(=N)C=C1)c1ccc(N)cc1	1
CN(C)c1ccc(C=Cc2cccc[n+]2C)cc1	1
C[n+]1c(C=Cc2ccc(Cl)cc2)ccc2ccccc12	1
CC1CCCN1CCCOC(=O)c1ccc(OC2CCCC=C2)cc1	-1
CN(C)c1ccc(cc1)-c1sc2cc(C)ccc2[n+]1C	1
OC(C1CCCCN1)c1cc(nc2ccccc12)-c1ccc(Cl)cc1	-1
CC(C)C1N(C)C(=O)CN(C)C(=O)C2CCCN2C(=O)C(*)NC(=O)C(NC(=O)c2ccc(C)c3oc4c(C)c(=O)c(N)c(C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(*)NC5=O)c4nc23)C(C)OC1=O	1
Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl	-1
CN(C)c1ccc(\C=C/C2=[N+](C)c3ccccc3C2(C)C)cc1	1
CN1\C(=C/C=C/C2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc12	1
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1	1
CN(C)c1cc2nc3cc(N(C)C)c(C)cc3cc2cc1C	1
CN(C)CC(=C)C(=O)c1ccccc1N(=O)=O	-1
CCN(CC)CCC(CNc1c2ccc(cc2nc2cc(OC)c(OC)cc12)N(=O)=O)c1ccccc1	1
CCOc1ccc2nc3cc(N)ccc3c(N)c2c1	1
COC(C1Cc2cc3cc(OC4CC(OC(C)=O)C(OC5CC(O)C(OC)C(C)O5)C(C)O4)cc(O)c3c(O)c2C(=O)C1OC1CC(OC2CC(OC3CC(C)(O)C(OC(=O)C(C)C)C(C)O3)C(O)C(C)O2)C(O)C(C)O1)C(=O)C(O)C(C)O	1
ClC(Cl)C(c1ccc(Cl)cc1)c1ccccc1Cl	-1
O=C1C(CN2CCCCC2)CCCC1CN1CCCCC1	-1
ClC1=C(N2CCN(CC2)C2=C(Cl)C(=O)c3ccccc3C2=O)C(=O)c2ccccc2C1=O	-1
CC1=CC(C(O)C(C)(C)C1)C1\C(C=C(C)CC1(C)C)=N\O	-1
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc12	1
CCCCCCNc1nc2nc(NCCCCCC)nc(NCCCCCC)c2[nH]1	1
Cc1cc2nc3cc(C)c(N)cc3[n+](-c3ccccc3)c2cc1N	1
Cc1cc(cc(CNC2CCCCC2)c1O)C(C)(C)C	-1
CC[C@]1(O)C[C@H]2CN(C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC	1
CC(C)C1=C2CCC3(C)C(CCC4C5C6OCC5(CCC6(C)C)CCC34C)C2(C)CC1	-1
COc1ccc-2c(c1)[C@H](CCc1cc(OC)c(OC)c(OC)c-21)NC(C)=O	-1
COc1cc(O)c(C(=O)\C=C\c2ccccc2)c(OC)c1	-1
C[C@H]1C[C@@H]2CC[C@@H](O2)[C@@H](C)C(=O)O[C@H](C)C[C@H]2CC[C@H](O2)[C@H](C)C(=O)O[C@@H](C)C[C@@H]2CC[C@@H](O2)[C@@H](C)C(=O)O[C@H](C)C[C@H]2CC[C@H](O2)[C@H](C)C(=O)O1	1
COc1cc(NCCCCNC(=N)NC(=N)NC(C)C)c2ncccc2c1	1
COc1cc(NCCCCCNC(=N)NC(=N)NC(C)C)c2ncccc2c1	1
O=C(C1N=NCC1c1ccc(cc1)N(=O)=O)c1ccccc1	-1
CN(C)CC\C=C1/c2ccccc2Sc2ccc(Cl)cc12	-1
CC(SC(C)C(=O)NN=Cc1cccc(Cl)c1)C(=O)NN=Cc1cccc(Cl)c1	1
CO[C@@H]([C@@H]1Cc2cc3cc(OC4CC(OC5CC(O)C(OC)C(C)O5)C(OC(C)=O)C(C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1OC1CC(OC2CC(OC3CC(C)(O)C(OC(C)=O)C(C)O3)C(O)C(C)O2)C(O)C(C)O1)C(=O)[C@@H](O)[C@@H](C)O	1
CCCCNP1(NCCCC)=NP(NCCCC)(NCCCC)=NP(NCCCC)(NCCCC)=NP(NCCCC)(NCCCC)=N1	1
CCCCCCCCCCCCCCCCOCC(O)CO	-1
NC(=O)C1=C(c2ccccc2C1=O)c1ccccc1	-1
CCCCCCCCCCCC(c1ccccc1)[N+](C)(C)C	1
CCOC(=O)Sc1ncnc2nc[nH]c12	-1
COC1C(C)OC(O[C@H]2C[C@](C)(O)[C@H](C(=O)OC)c3cc4C(=O)c5c6O[C@H]7O[C@](C)([C@H](O)[C@H]([C@@H]7O)N(C)C)c6cc(O)c5C(=O)c4c(O)c23)C(OC)C1(C)OC	1
COc1ccc(OC)c(c1)-c1cc(=O)c2c(OC)c(OC)c(OC)c(OC)c2o1	-1
Cc1cc(C)nc(NC(=N)NCCc2ccccc2)n1	1
OCC1OC(CC1O)n1cc(c(=O)[nH]c1=O)C(F)(F)F	-1
CC1OC2CC(=O)OC2C2=C1C(=O)c1c(O)c3c(C4CC(O)C3(O)C(C)O4)c(O)c1C2=O	-1
